"Table 1 – Labour force characteristics by age group and sex, seasonally adjusted",,,,,,,
 , November 2022, December 2022, Standard error{1}, November to December 2022, December 2021 to December 2022, November to December 2022, December 2021 to December 2022
,thousands (except rates),thousands (except rates),thousands (except rates),change in thousands (except rates),change in thousands (except rates),% change,% change
"15 years and over, both sexes",,,,,,,
Population,31964.7,32007,...,42.3,496.7,0.1,1.6
Labour force,20715.9,20807.1,33.8,91.2,194.8,0.4,0.9
Employment,19666.3,19770.3,34.1,104,394.1,0.5,2
Full-time employment,16114,16198.5,46.1,84.5,401.2,0.5,2.5
Part-time employment,3552.3,3571.8,43,19.5,-7.1,0.5,-0.2
Unemployment,1049.6,1036.9,28.8,-12.7,-199.2,-1.2,-16.1
Participation rate,64.8,65,0.1,0.2,-0.4,...,...
Unemployment rate,5.1,5,0.1,-0.1,-1,...,...
Employment rate,61.5,61.8,0.1,0.3,0.3,...,...
,,,,,,,
"15 to 24 years, both sexes",,,,,,,
Population,4500.5,4509.5,...,9,55,0.2,1.2
Labour force,2863.3,2933.5,19.7,70.2,-2.2,2.5,-0.1
Employment,2568.4,2636.9,19.1,68.5,27.7,2.7,1.1
Full-time employment,1288.9,1342.4,23.4,53.5,38.5,4.2,3
Part-time employment,1279.5,1294.5,24.9,15,-10.8,1.2,-0.8
Unemployment,294.9,296.6,16.1,1.7,-29.9,0.6,-9.2
Participation rate,63.6,65.1,0.4,1.5,-0.8,...,...
Unemployment rate,10.3,10.1,0.5,-0.2,-1,...,...
Employment rate,57.1,58.5,0.4,1.4,-0.1,...,...
,,,,,,,
"25 years and over, both sexes",,,,,,,
Population,27464.2,27497.5,...,33.3,441.7,0.1,1.6
Labour force,17852.6,17873.7,27.2,21.1,197.1,0.1,1.1
Employment,17097.9,17133.4,28.4,35.5,366.4,0.2,2.2
Full-time employment,14825.1,14856.1,40.3,31,362.7,0.2,2.5
Part-time employment,2272.8,2277.3,35.4,4.5,3.7,0.2,0.2
Unemployment,754.6,740.3,23.7,-14.3,-169.3,-1.9,-18.6
Participation rate,65,65,0.1,0,-0.3,...,...
Unemployment rate,4.2,4.1,0.1,-0.1,-1,...,...
Employment rate,62.3,62.3,0.1,0,0.3,...,...
,,,,,,,
"25 years and over, men",,,,,,,
Population,13477.3,13495.2,...,17.9,229.8,0.1,1.7
Labour force,9408.3,9428.6,17.3,20.3,63,0.2,0.7
Employment,9009,9032.2,18.7,23.2,141.1,0.3,1.6
Full-time employment,8293,8292.3,25.9,-0.7,162.3,0,2
Part-time employment,715.9,739.9,21.8,24,-21.1,3.4,-2.8
Unemployment,399.3,396.4,16.6,-2.9,-78.2,-0.7,-16.5
Participation rate,69.8,69.9,0.1,0.1,-0.7,...,...
Unemployment rate,4.2,4.2,0.2,0,-0.9,...,...
Employment rate,66.8,66.9,0.1,0.1,-0.1,...,...
,,,,,,,
"25 years and over, women",,,,,,,
Population,13986.9,14002.3,...,15.4,211.9,0.1,1.5
Labour force,8444.3,8445.1,19.3,0.8,134.1,0,1.6
Employment,8088.9,8101.2,19.7,12.3,225.2,0.2,2.9
Full-time employment,6532.1,6563.8,29.6,31.7,200.5,0.5,3.2
Part-time employment,1556.9,1537.4,27.5,-19.5,24.8,-1.3,1.6
Unemployment,355.3,343.9,16.3,-11.4,-91.1,-3.2,-20.9
Participation rate,60.4,60.3,0.1,-0.1,0,...,...
Unemployment rate,4.2,4.1,0.2,-0.1,-1.1,...,...
Employment rate,57.8,57.9,0.1,0.1,0.8,...,...
,,,,,,,
"25 to 54 years, both sexes",,,,,,,
Population,15205.2,15223,...,17.8,221.1,0.1,1.5
Labour force,13442,13427.3,25.7,-14.7,170.3,-0.1,1.3
Employment,12878,12882.2,28.5,4.2,245.9,0,1.9
Unemployment,563.9,545.1,21.3,-18.8,-75.6,-3.3,-12.2
Participation rate,88.4,88.2,0.2,-0.2,-0.2,...,...
Unemployment rate,4.2,4.1,0.2,-0.1,-0.6,...,...
Employment rate,84.7,84.6,0.2,-0.1,0.4,...,...
,,,,,,,
"25 to 54 years, men",,,,,,,
Population,7612,7622.3,...,10.3,121.6,0.1,1.6
Labour force,6982.2,6977.4,16.2,-4.8,70.8,-0.1,1
Employment,6684,6693.3,18.8,9.3,107.4,0.1,1.6
Unemployment,298.2,284.1,15,-14.1,-36.5,-4.7,-11.4
Participation rate,91.7,91.5,0.2,-0.2,-0.6,...,...
Unemployment rate,4.3,4.1,0.2,-0.2,-0.5,...,...
Employment rate,87.8,87.8,0.3,0,0,...,...
,,,,,,,
"25 to 54 years, women",,,,,,,
Population,7593.2,7600.7,...,7.5,99.5,0.1,1.3
Labour force,6459.8,6449.9,19,-9.9,99.5,-0.2,1.6
Employment,6194.1,6188.9,20.1,-5.2,138.6,-0.1,2.3
Unemployment,265.7,261,14.6,-4.7,-39.1,-1.8,-13
Participation rate,85.1,84.9,0.3,-0.2,0.2,...,...
Unemployment rate,4.1,4,0.2,-0.1,-0.7,...,...
Employment rate,81.6,81.4,0.3,-0.2,0.7,...,...
,,,,,,,
"55 years and over, both sexes",,,,,,,
Population,12259,12274.6,...,15.6,220.6,0.1,1.8
Labour force,4410.6,4446.4,22.2,35.8,26.8,0.8,0.6
Employment,4219.9,4251.2,22.4,31.3,120.4,0.7,2.9
Unemployment,190.7,195.2,12.7,4.5,-93.7,2.4,-32.4
Participation rate,36,36.2,0.2,0.2,-0.5,...,...
Unemployment rate,4.3,4.4,0.3,0.1,-2.1,...,...
Employment rate,34.4,34.6,0.2,0.2,0.3,...,...
,,,,,,,
"55 years and over, men",,,,,,,
Population,5865.3,5872.9,...,7.6,108.2,0.1,1.9
Labour force,2426.1,2451.2,14.5,25.1,-7.8,1,-0.3
Employment,2325,2338.9,14.8,13.9,33.8,0.6,1.5
Unemployment,101.1,112.3,9,11.2,-41.6,11.1,-27
Participation rate,41.4,41.7,0.3,0.3,-1,...,...
Unemployment rate,4.2,4.6,0.4,0.4,-1.7,...,...
Employment rate,39.6,39.8,0.3,0.2,-0.2,...,...
,,,,,,,
"55 years and over, women",,,,,,,
Population,6393.7,6401.6,...,7.9,112.4,0.1,1.8
Labour force,1984.5,1995.2,15.5,10.7,34.6,0.5,1.8
Employment,1894.9,1912.3,15.5,17.4,86.6,0.9,4.7
Unemployment,89.6,82.9,8.5,-6.7,-52,-7.5,-38.5
Participation rate,31,31.2,0.2,0.2,0,...,...
Unemployment rate,4.5,4.2,0.4,-0.3,-2.7,...,...
Employment rate,29.6,29.9,0.2,0.3,0.9,...,...
,,,,,,,
... not applicable,,,,,,,
"1. Average standard error of change between two consecutive months. See the ""Data Quality"" section of the Guide to the Labour Force Survey (71-543-G) for more information.",,,,,,,
Note(s):,,,,,,,
"The sum of individual categories may not always add up to the total as a result of rounding.
",,,,,,,
Source(s):,,,,,,,
Table 14-10-0287-02. ,,,,,,,
