Year,Canada,United_States,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,10.32,6.8,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,11.2,7.5,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,11.38,6.9,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,10.4,6.12,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,9.49,5.65,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,9.62,5.45,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,9.1,5,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,8.28,4.51,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7.58,4.22,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.83,3.99,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7.22,4.73,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,7.66,5.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,7.57,5.99,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,7.19,5.53,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6.76,5.08,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6.32,4.62,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6.04,4.62,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6.14,5.78,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,8.34,9.25,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,8.06,9.63,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7.51,8.95,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,7.29,8.07,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,7.07,7.37,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6.91,6.17,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,6.91,5.28,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7,4.87,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,6.34,4.36,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5.83,3.9,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5.66,3.67,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9.46,8.05,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7.51,5.46,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
